Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-10-12 - PIT 6, TB 2",PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-14 - PIT 4, FLA 5",PIT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-16 - CHI 2, PIT 5",PIT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-19 - DAL 2, PIT 1",PIT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-23 - TOR 1, PIT 7",PIT,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-26 - TB 5, PIT 1",PIT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-28 - CGY 4, PIT 0",PIT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-10-30 - NJ 4, PIT 2",PIT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-04 - PHI 2, PIT 3",PIT,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-06 - MIN 5, PIT 4",PIT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2021-11-09 - PIT 2, CHI 3",PIT,2.0,44.157,46.216,32.870999999999995,36.239,1.9490000000000005,2.359,7.906999999999999,9.925999999999998,1.02,1.47,6.7620000000000005,8.389,20.509,22.224,0.205,0.112,9.761,10.759,15.245,13.273,0.717,0.774,8.144,6.984,1.0125,25.882,23.222,23.166,27.365,1.791,2.109
"2021-11-11 - FLA 2, PIT 3",PIT,1.0,43.07000000000001,47.109,32.473,36.61,2.1420000000000003,2.244,8.145999999999999,10.057,1.114,1.461,7.002000000000001,8.523,18.479,22.327,0.205,0.0,9.443,11.762,15.268,12.436,0.8109999999999999,0.774,8.565999999999999,6.2090000000000005,0.9995999999999998,26.054,23.465,22.498,27.97,1.805,2.133
"2021-11-13 - PIT 3, OTT 6",PIT,1.0,43.67700000000001,46.06,33.096,35.882,1.9630000000000003,2.22,8.044,9.955,0.8290000000000001,1.3409999999999995,7.073,8.648,19.072000000000003,21.41,0.205,0.0,9.739999999999998,11.324000000000002,15.633,12.451,0.92,0.869,8.51,6.089,1.0076,26.344,23.757,22.411,27.46400000000001,1.813,2.059
"2021-11-14 - PIT 1, WSH 6",PIT,0.0,45.204,46.443,34.24,36.204,2.155,2.03,8.845,9.655,1.015,1.148,7.491,8.122,20.09,21.711,0.205,0.0,10.271,11.361,15.35,12.722,0.92,0.8709999999999999,8.428,6.555,0.9941,27.198,24.254,22.439,27.366,1.945,2.116
"2021-11-16 - BUF 2, PIT 1",PIT,1.0,47.029,45.523,35.17999999999999,35.959,2.445,2.039,9.302,9.709,1.308,1.16,7.364999999999999,8.046,21.742,21.088,0.205,0.0,11.308,11.451,15.073999999999998,12.621,0.909,0.8709999999999999,8.324000000000002,6.6530000000000005,0.9854999999999998,27.794,24.423,22.408,27.415,2.025,2.1060000000000003
